#"Step","Potential Energy (kJ/mole)","Temperature (K)"
500,-420844.8000338669,242.5907496285124
1000,-408109.4562838669,273.1362572479968
1500,-400635.0500338669,285.3403326484776
2000,-396133.9094088669,290.2757098640849
2500,-394917.5969088669,297.8847272585872
3000,-392898.2219088669,296.5050093482733
3500,-391796.7062838669,296.4134869919363
4000,-391032.9250338669,299.993734392962
4500,-391777.3781588669,300.5595758268023
5000,-391571.3625338669,298.9759028147087
