frame,time_ns,n_hydrogen_bonds
371,14.84,197
372,14.88,212
373,14.92,202
374,14.96,179
375,15.0,199
376,15.040000000000001,187
377,15.08,200
378,15.120000000000001,191
379,15.16,196
380,15.200000000000001,202
381,15.24,211
382,15.280000000000001,203
383,15.32,209
384,15.36,200
385,15.4,191
386,15.44,212
387,15.48,209
388,15.52,211
389,15.56,201
390,15.6,203
391,15.64,212
392,15.68,210
393,15.72,215
394,15.76,204
395,15.8,199
396,15.84,205
397,15.88,207
398,15.92,204
399,15.96,216
400,16.0,204
401,16.04,213
402,16.080000000000002,204
403,16.12,212
404,16.16,208
405,16.2,201
