#"Progress (%)","Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
60.0%,12000,23.999999999997577,-1203.7157175135346,842.6499636245995,-361.0657538889351,267.0553243789144,454
61.0%,12200,24.399999999997355,-1199.9660866485347,933.7259449660672,-266.2401416824674,295.9194159830401,454
62.0%,12400,24.799999999997134,-1213.2448897301456,939.1833447307289,-274.0615449994167,297.6489925893786,454
63.0%,12600,25.199999999996912,-1224.316648955878,934.136212572244,-290.18043638363406,296.0494393063408,454
64.0%,12800,25.59999999999669,-1192.3901337732527,961.8407412305083,-230.54939254274439,304.8296472301304,454
65.0%,13000,25.99999999999647,-1244.614606089614,924.8901465128698,-319.72445957674415,293.11914644773327,454
66.0%,13200,26.399999999996247,-1212.2719900932307,901.1763736747685,-311.0956164184622,285.6037016356472,453
67.0%,13400,26.799999999996025,-1219.8311287471367,926.6178881123201,-293.21324063481666,293.66670784713034,454
68.0%,13600,27.199999999995804,-1276.9544986373821,883.7901755656586,-393.1643230717235,280.09361206562863,454
69.0%,13800,27.599999999995582,-1300.986032017055,1005.8674226755652,-295.1186093414899,318.78272407364256,455
70.0%,14000,27.99999999999536,-1265.5450850738619,1016.5601507128033,-248.98493436105855,322.1714976780431,455
71.0%,14200,28.39999999999514,-1283.734338054729,987.7632739885563,-295.97106406617274,313.0450993078185,455
72.0%,14400,28.799999999994917,-1247.701051252403,995.6049414949745,-252.0961097574285,315.5303056805693,455
73.0%,14600,29.199999999994695,-1197.3593959453424,1005.989265019689,-191.37013092565337,318.8213387394442,456
74.0%,14800,29.599999999994473,-1199.7901666128807,909.8447075189684,-289.9454590939123,288.3508977509001,456
75.0%,15000,29.99999999999425,-1268.1192976540615,969.2902871740733,-298.82901047998814,307.19058118172865,451
76.0%,15200,30.39999999999403,-1213.9959697602467,919.1954413018062,-294.80052845844045,291.3143622395417,451
77.0%,15400,30.79999999999381,-1265.8497237556815,911.1941105238436,-354.65561323183783,288.7785548715802,451
78.0%,15600,31.199999999993587,-1162.3991645690517,892.0567744457984,-270.34239012325327,282.7134890498394,452
79.0%,15800,31.599999999993365,-1210.8597325537023,940.4589906566869,-270.40074189701545,298.05327438046066,452
80.0%,16000,31.999999999993143,-1222.4998915959063,999.1432793790545,-223.35661221685177,316.6516870514658,452
81.0%,16200,32.39999999999363,-1256.9255387396179,1009.0882043856939,-247.837334353924,319.8034645251728,453
82.0%,16400,32.79999999999412,-1242.7639755677017,961.2635732457234,-281.5004023219783,304.6467293044773,453
83.0%,16600,33.19999999999461,-1210.7219245620774,876.3457375868315,-334.3761869752459,277.73429694656926,453
84.0%,16800,33.5999999999951,-1293.3356368672817,916.0264649829962,-377.30917188428543,290.3100401184932,453
85.0%,17000,33.99999999999559,-1229.3148749301122,921.2840306931221,-308.0308442369901,291.97628467646086,453
86.0%,17200,34.399999999996076,-1299.3192918063507,970.151660896031,-329.16763091031976,307.4635704995463,453
87.0%,17400,34.799999999996565,-1217.1297278375948,932.9244946113129,-284.20523322628196,295.66541777061286,453
88.0%,17600,35.199999999997054,-1209.4447215805346,1001.4802234925585,-207.96449808797615,317.3923188620965,453
89.0%,17800,35.59999999999754,-1107.5970434540263,945.622660893256,-161.97438256077032,299.68976128432416,454
90.0%,18000,35.99999999999803,-1163.5898651248303,1014.8412163880009,-148.7486487368294,321.6267275083257,448
91.0%,18200,36.39999999999852,-1158.0833279664528,971.2451975131497,-186.83813045330305,307.8101376254127,448
92.0%,18400,36.79999999999901,-1177.3541675866159,1000.6799907390301,-176.67417684758573,317.1387065357482,448
93.0%,18600,37.1999999999995,-1206.313537274555,985.9345759882632,-220.37896128629188,312.46554248263493,448
94.0%,18800,37.59999999999999,-1192.8397223940003,868.1009531758859,-324.7387692181144,275.12133347377875,448
95.0%,19000,38.000000000000476,-1294.1790466795892,887.279650782586,-406.89939589700316,281.1995077236078,448
96.0%,19200,38.400000000000965,-1279.0268029349913,873.2324168157945,-405.7943861191968,276.747613359913,448
97.0%,19400,38.800000000001454,-1270.9040656442444,905.421033592753,-365.48303205149136,286.94893284695536,449
98.0%,19600,39.20000000000194,-1183.16374698058,901.1078527628382,-282.05589421774187,285.5819857688553,449
99.0%,19800,39.60000000000243,-1216.8048971020403,900.7835487860023,-316.02134831603803,285.4792063141944,449
100.0%,20000,40.00000000000292,-1243.7108075251072,932.6961814502141,-311.01462607489304,295.59306003260866,449
