frame,time_ns,n_hydrogen_bonds
0,0.0,208
1,0.04,208
2,0.08,203
3,0.12,200
4,0.16,196
5,0.2,198
6,0.24,204
7,0.28,216
8,0.32,204
9,0.36,196
10,0.4,205
11,0.44,203
12,0.48,202
13,0.52,210
14,0.56,208
15,0.6,202
16,0.64,202
17,0.68,214
18,0.72,218
19,0.76,191
20,0.8,204
21,0.84,203
22,0.88,195
23,0.92,208
24,0.96,216
25,1.0,199
26,1.04,206
27,1.08,209
28,1.12,195
29,1.16,206
30,1.2,199
31,1.24,192
32,1.28,200
33,1.32,203
34,1.36,208
35,1.4000000000000001,186
36,1.44,195
37,1.48,207
38,1.52,207
39,1.56,211
40,1.6,217
41,1.6400000000000001,188
42,1.68,199
43,1.72,204
44,1.76,213
45,1.8,191
46,1.84,198
47,1.8800000000000001,199
48,1.92,204
49,1.96,204
50,2.0,202
51,2.04,199
52,2.08,193
53,2.12,197
54,2.16,197
55,2.2,208
56,2.24,207
57,2.2800000000000002,203
58,2.32,198
59,2.36,207
60,2.4,206
61,2.44,209
62,2.48,207
63,2.52,208
64,2.56,208
65,2.6,208
66,2.64,205
67,2.68,209
68,2.72,200
69,2.7600000000000002,203
70,2.8000000000000003,195
71,2.84,203
72,2.88,208
73,2.92,205
74,2.96,197
75,3.0,201
76,3.04,199
77,3.08,195
78,3.12,204
79,3.16,194
80,3.2,201
81,3.24,199
82,3.2800000000000002,198
83,3.3200000000000003,195
84,3.36,197
85,3.4,202
86,3.44,204
87,3.48,202
88,3.52,195
89,3.56,212
90,3.6,206
91,3.64,213
92,3.68,204
93,3.72,205
94,3.7600000000000002,198
95,3.8000000000000003,204
96,3.84,206
97,3.88,205
98,3.92,201
99,3.96,204
100,4.0,197
101,4.04,198
102,4.08,206
103,4.12,202
104,4.16,204
105,4.2,212
106,4.24,204
107,4.28,204
108,4.32,197
109,4.36,207
110,4.4,203
111,4.44,198
112,4.48,199
113,4.5200000000000005,203
114,4.5600000000000005,198
115,4.6000000000000005,199
116,4.64,202
117,4.68,208
118,4.72,201
119,4.76,215
120,4.8,203
121,4.84,194
122,4.88,211
123,4.92,205
124,4.96,191
125,5.0,182
126,5.04,198
127,5.08,196
128,5.12,196
129,5.16,202
130,5.2,196
131,5.24,211
