step,time_ns,potential_energy_kj_mol,temperature_k
2160000,8.64,-404080.3420522171,300.33225900455113
2170000,8.68,-403900.8592595919,303.75009748118754
2180000,8.72,-404436.70793546643,304.14346218916666
2190000,8.76,-403115.2479339496,303.22388088609046
2200000,8.8,-403398.79677485395,301.54550740858417
2210000,8.84,-404072.6097913766,302.0375263158722
2220000,8.88,-404248.3100956024,302.36213045553353
2230000,8.92,-403554.07641213946,303.2005346385015
2240000,8.96,-404657.34370292537,301.0308987242995
2250000,9.0,-404664.8825448181,301.0129521116278
2260000,9.04,-403508.1800417423,302.0604812855686
2270000,9.08,-404823.9091792952,303.13211317769054
2280000,9.12,-404478.08636665903,301.33145231616527
2290000,9.16,-404605.6666539202,303.03601532727976
2300000,9.2,-404681.4980127746,304.8473972030609
2310000,9.24,-404611.1730204639,301.664142865606
2320000,9.28,-404774.12010311545,300.613613894489
2330000,9.32,-403565.4405673917,304.81129529617476
2340000,9.36,-404029.0368746186,303.1214182486275
2350000,9.4,-404771.4275831999,300.6917912174209
2360000,9.44,-404814.0952902788,303.3416294465558
2370000,9.48,-406110.21459322586,300.8102179929001
2380000,9.52,-404176.39989727223,302.3980236808769
2390000,9.56,-404559.1496192238,302.45968907674313
2400000,9.6,-403482.07521617785,301.2767255815936
2410000,9.64,-404428.71221311484,300.52369823478045
2420000,9.68,-403948.1845617541,300.23297876061423
2430000,9.72,-404407.66966621764,300.57208626749275
2440000,9.76,-405041.5623034162,301.6047729667094
2450000,9.8,-403896.33457057667,302.44109033425053
2460000,9.84,-404317.80345239164,300.7671252543336
2470000,9.88,-403194.5418304303,302.4609411659993
2480000,9.92,-404399.24676876445,300.04889555476484
2490000,9.96,-404297.3402179037,301.465451951768
2500000,10.0,-403091.1549558246,300.45060752445175
2510000,10.04,-404174.17495375825,302.49297378280295
2520000,10.08,-405246.61678301496,302.9484212497337
2530000,10.12,-403986.5994406282,301.00859588442404
2540000,10.16,-403439.3473044967,300.98065864289583
2550000,10.2,-404832.5005274415,301.6094161310344
2560000,10.24,-404112.0492778381,301.98522550423434
2570000,10.28,-403536.2945209283,305.6731500675031
2580000,10.32,-404463.4854501565,299.136278998176
2590000,10.36,-402901.43994684005,301.8884755240026
2600000,10.4,-404828.9109952168,302.4588543505724
2610000,10.44,-403433.336295977,299.25914025643743
2620000,10.48,-404779.8507970462,302.23653025202424
2630000,10.52,-404306.187751075,298.99599283109967
2640000,10.56,-404830.382175741,300.0725026542822
2650000,10.6,-404122.27382670343,304.17348624612185
2660000,10.64,-405328.1011971892,302.213549197135
2670000,10.68,-405034.91985743353,301.9795128470031
2680000,10.72,-404971.980177189,304.3012515206366
2690000,10.76,-404445.6934194823,302.94323029635916
2700000,10.8,-405247.77969299885,301.9740610417002
2710000,10.84,-404989.1107029775,300.09853567673326
2720000,10.88,-403018.67310114345,301.6124941837891
2730000,10.92,-404842.4612511096,303.06105711240303
2740000,10.96,-404425.94447557395,302.93501346061555
2750000,11.0,-404132.471687451,302.8336203160589
2760000,11.04,-403565.5943465044,302.40746652068384
2770000,11.08,-404769.1084785145,302.4215264396229
2780000,11.12,-403368.6248221188,302.0797843282678
2790000,11.16,-405527.8299100455,302.14593637730195
2800000,11.2,-404714.66283171624,299.8971319028402
2810000,11.24,-403203.8661063034,300.48694419807345
2820000,11.28,-404469.40373182134,301.4798248930211
2830000,11.32,-404858.77217330574,300.67694874269677
2840000,11.36,-404143.2556901723,302.8044309852745
2850000,11.4,-404460.2205824284,301.7545541439784
2860000,11.44,-403901.09480575495,300.02390594002713
2870000,11.48,-405171.3694007462,300.8287906501999
2880000,11.52,-404433.8094634961,300.2283877666749
2890000,11.56,-403477.9073872005,300.1888165291415
2900000,11.6,-403925.48810523236,303.2194724885011
2910000,11.64,-405080.80074798805,301.3514074886854
2920000,11.68,-403363.0986838727,303.7775651892447
2930000,11.72,-404125.25817321823,300.169226549321
2940000,11.76,-404004.5975355543,300.91137637072126
2950000,11.8,-403144.12086007674,301.34960761037973
2960000,11.84,-404762.78033260535,299.8606387180615
2970000,11.88,-404033.0017612467,303.36275845275367
2980000,11.92,-404784.61562572024,301.3432167381347
2990000,11.96,-403936.73011937947,302.7186628712271
3000000,12.0,-405460.2930492973,302.6739006803191
3010000,12.04,-405988.0283579817,301.782439215121
3020000,12.08,-404703.73670905083,300.60096257596314
3030000,12.12,-404011.0885129941,303.15128579442563
3040000,12.16,-403946.1422025205,303.332812651377
3050000,12.2,-404021.17710088054,305.28090702281594
3060000,12.24,-404032.53906060196,302.04305637675355
3070000,12.28,-403911.04602752184,301.29373312732326
3080000,12.32,-403838.61434709723,301.8570167814414
3090000,12.36,-404499.0758657553,302.50056457391844
3100000,12.4,-403842.4281722177,301.1691241611418
3110000,12.44,-405359.47119246586,302.446281287625
3120000,12.48,-403709.0387318807,298.94789173550856
3130000,12.52,-403654.8209003983,300.4158359624003
3140000,12.56,-404924.3971785975,301.7787351177381
3150000,12.6,-403069.5466751214,300.0668943378222
3160000,12.64,-403975.6342184278,304.3201893706361
3170000,12.68,-404293.8487020652,302.7487651837608
3180000,12.72,-403883.898585472,301.572714264713
3190000,12.76,-405478.24570612423,302.21740980567483
3200000,12.8,-403874.74824784393,300.68430476707675
3210000,12.84,-404961.3576127109,303.59481232823
3220000,12.88,-404370.6199303367,303.02198149353353
3230000,12.92,-405199.2317451297,299.9918211528379
3240000,12.96,-405949.08060474065,302.3496878185503
3250000,13.0,-404133.88012037333,301.86001657861766
3260000,13.04,-404236.9870555706,302.12397264493336
3270000,13.08,-404499.69290573336,301.1261618485396
3280000,13.12,-403478.62458609394,303.4568738285089
3290000,13.16,-403251.79435819667,298.1875083643155
3300000,13.2,-404478.4023351653,302.35276587130505
3310000,13.24,-405576.1377535672,301.77685698385386
3320000,13.28,-403894.21495017665,299.93440764340403
3330000,13.32,-403327.65390211996,301.76952704466675
3340000,13.36,-403707.80868757865,305.09212848225593
3350000,13.4,-404810.1980702977,298.3326463772595
3360000,13.44,-404740.0280007683,304.3996970384027
3370000,13.48,-404475.2488121011,300.96396411948024
3380000,13.52,-404382.7943970356,303.0139733393326
3390000,13.56,-404273.1958109103,300.51686391425727
3400000,13.6,-404500.3687636466,298.26573785763304
3410000,13.64,-404104.47168111545,304.2770966320697
3420000,13.68,-403634.5089290517,302.51736343810535
3430000,13.72,-405486.8368823235,300.1266815998042
3440000,13.76,-405626.11930117104,303.47502912272336
3450000,13.8,-405009.70558281615,304.8124430446596
3460000,13.84,-405475.57355510304,299.70170163810684
3470000,13.88,-405374.50382922264,303.8513080293944
3480000,13.92,-404487.98306503193,300.84256363201774
3490000,13.96,-405595.96505986457,301.6866022166385
3500000,14.0,-404004.65056179045,305.67166321151143
3510000,14.04,-403497.6260529505,301.7229910606459
3520000,14.08,-403926.09747030167,303.61320238917995
3530000,14.12,-403576.9572613528,304.1763817025268
3540000,14.16,-404666.27658383944,302.16096144837593
3550000,14.2,-403998.9993646671,300.70384257651153
3560000,14.24,-404816.74643794284,301.6418921961162
3570000,14.28,-404288.59190627956,302.368756094514
3580000,14.32,-404125.3399732162,299.65242670883805
3590000,14.36,-403420.72580063646,302.11909471387287
3600000,14.4,-404154.7376456957,302.9015722433988
3610000,14.44,-404508.7311796888,304.1223853533545
3620000,14.48,-404762.5270507266,301.5628801470135
3630000,14.52,-404815.0146171469,298.75692203875025
3640000,14.56,-403963.5677425633,301.0029614827713
3650000,14.6,-403791.5052868682,299.52150512599013
3660000,14.64,-404074.506470202,301.2563791311809
3670000,14.68,-404574.2024701389,302.9076240081369
3680000,14.72,-405253.822425972,302.6074356089709
3690000,14.76,-405028.72264082264,301.24456253882585
3700000,14.8,-403746.8371573298,296.52126450147824
3710000,14.84,-404801.49305379833,301.6348752792431
3720000,14.88,-404310.5469727607,301.89410992565536
3730000,14.92,-404711.4942300371,303.31116194132244
3740000,14.96,-404471.4549438481,300.82821677595746
3750000,15.0,-405747.0079515744,302.10722595113214
3760000,15.04,-402501.9166785085,300.1256381920907
3770000,15.08,-404793.2789469538,301.5259695991494
3780000,15.12,-403284.6247846163,302.19894148914636
3790000,15.16,-405664.71949620196,299.15589506318935
3800000,15.2,-405217.20764167095,299.81042472185067
3810000,15.24,-404713.069089066,303.42617155653994
3820000,15.28,-403854.69882909465,302.5472831542892
3830000,15.32,-405063.3683832302,300.6345863895298
3840000,15.36,-403856.6605484437,299.82529328176764
3850000,15.4,-403918.16038746433,301.0386199413792
3860000,15.44,-405136.96662779176,299.5874224082887
3870000,15.48,-403927.7784815696,299.1557385520323
3880000,15.52,-404457.20718260575,298.48258406568544
3890000,15.56,-405331.9632461914,299.07153554955505
3900000,15.6,-404626.3829935626,300.3032783553094
3910000,15.64,-404362.4582027425,302.87188729395046
3920000,15.68,-403662.6605749463,302.8448108637859
3930000,15.72,-405248.4891472305,301.38137937525494
3940000,15.76,-405713.2282572789,301.7895604727654
3950000,15.8,-405126.84387384634,301.8997964976938
3960000,15.84,-404731.99711433705,303.75839257250965
3970000,15.88,-405649.1485756845,302.89617260848155
3980000,15.92,-403840.6890640089,302.34679236214544
3990000,15.96,-403957.91939355526,303.2923023469014
4000000,16.0,-403646.62091833237,302.66581427053967
4010000,16.04,-405257.80574491527,301.54122943695893
4020000,16.08,-404888.37985549425,299.8619168925105
4030000,16.12,-403475.2665310714,302.199645789353
4040000,16.16,-404918.6410365151,302.08114075829536
4050000,16.2,-404011.53526736214,302.39747589182736
4060000,16.24,-404015.2648180942,302.5171808417555
4070000,16.28,-404311.76604557387,300.93216626941216
4080000,16.32,-404396.4818050526,301.4470097204324
4090000,16.36,-403246.5104667896,302.4430988940989
4100000,16.4,-405623.64135543397,300.5089601008277
