frame,time_ns,n_hydrogen_bonds
371,14.84,202
372,14.88,212
373,14.92,200
374,14.96,205
375,15.0,196
376,15.040000000000001,198
377,15.08,203
378,15.120000000000001,204
379,15.16,198
380,15.200000000000001,203
381,15.24,190
382,15.280000000000001,204
383,15.32,202
384,15.36,193
385,15.4,201
386,15.44,204
387,15.48,202
388,15.52,205
389,15.56,197
390,15.6,206
391,15.64,198
392,15.68,217
393,15.72,209
394,15.76,203
395,15.8,189
396,15.84,194
397,15.88,199
398,15.92,196
399,15.96,212
400,16.0,199
401,16.04,199
402,16.080000000000002,201
403,16.12,196
404,16.16,194
405,16.2,183
406,16.240000000000002,199
407,16.28,203
408,16.32,201
409,16.36,189
410,16.4,204
411,16.44,198
412,16.48,190
413,16.52,198
414,16.56,199
415,16.6,205
416,16.64,198
417,16.68,187
418,16.72,189
419,16.76,205
420,16.8,196
421,16.84,190
422,16.88,205
423,16.92,202
424,16.96,197
425,17.0,199
426,17.04,199
427,17.080000000000002,189
428,17.12,201
429,17.16,196
430,17.2,196
431,17.240000000000002,180
432,17.28,203
433,17.32,210
434,17.36,190
435,17.400000000000002,195
436,17.44,195
437,17.48,205
438,17.52,197
439,17.56,202
440,17.6,199
441,17.64,192
442,17.68,194
443,17.72,188
444,17.76,186
445,17.8,195
446,17.84,190
447,17.88,204
448,17.92,195
449,17.96,194
450,18.0,203
451,18.04,196
452,18.080000000000002,184
453,18.12,194
454,18.16,192
455,18.2,196
456,18.240000000000002,192
457,18.28,205
458,18.32,184
459,18.36,186
460,18.400000000000002,191
461,18.44,190
462,18.48,194
463,18.52,191
464,18.56,186
465,18.6,186
466,18.64,191
467,18.68,186
468,18.72,201
469,18.76,201
470,18.8,199
471,18.84,200
472,18.88,206
473,18.92,198
474,18.96,186
475,19.0,194
476,19.04,202
477,19.080000000000002,186
478,19.12,187
479,19.16,187
480,19.2,194
481,19.240000000000002,190
482,19.28,197
483,19.32,185
484,19.36,190
485,19.400000000000002,189
486,19.44,185
487,19.48,203
488,19.52,189
489,19.56,197
490,19.6,190
491,19.64,200
492,19.68,204
493,19.72,200
494,19.76,188
495,19.8,190
496,19.84,202
497,19.88,187
498,19.92,180
499,19.96,204
500,20.0,198
501,20.04,200
502,20.080000000000002,189
503,20.12,187
504,20.16,179
505,20.2,186
506,20.240000000000002,201
507,20.28,203
508,20.32,209
509,20.36,201
510,20.400000000000002,199
511,20.44,190
512,20.48,194
513,20.52,191
514,20.56,193
515,20.6,198
516,20.64,198
517,20.68,192
518,20.72,190
519,20.76,190
520,20.8,186
521,20.84,206
522,20.88,186
523,20.92,194
524,20.96,190
525,21.0,196
526,21.04,191
527,21.080000000000002,203
528,21.12,199
529,21.16,195
530,21.2,193
531,21.240000000000002,189
532,21.28,187
533,21.32,192
534,21.36,192
535,21.400000000000002,189
536,21.44,199
537,21.48,193
538,21.52,202
539,21.56,199
540,21.6,192
541,21.64,204
542,21.68,191
543,21.72,200
544,21.76,190
545,21.8,205
546,21.84,191
547,21.88,197
548,21.92,204
549,21.96,184
550,22.0,204
551,22.04,198
552,22.080000000000002,195
553,22.12,199
554,22.16,191
555,22.2,192
556,22.240000000000002,198
