step,time_ns,potential_energy_kj_mol,temperature_k
4110000,16.44,-404600.36510136,301.3913439189186
4120000,16.48,-404133.1921283633,303.2744339898082
4130000,16.52,-403780.87961617345,300.25666411571007
4140000,16.56,-404173.33100361866,300.4174271591633
4150000,16.6,-403986.0868466818,301.72226067524645
4160000,16.64,-405134.99273637356,303.06301350186584
4170000,16.68,-404897.01517407387,304.2490028793844
4180000,16.72,-404923.85091010015,300.32383348726484
4190000,16.76,-405847.45864166366,299.4310938476177
4200000,16.8,-405630.4565684432,298.91914585300236
4210000,16.84,-403862.92155746464,303.58312616183906
4220000,16.88,-405056.149373234,301.57409677993337
4230000,16.92,-404359.56614029966,299.9080876838317
4240000,16.96,-404084.73402382666,302.8470802755627
4250000,17.0,-404062.3205240108,302.6672489561457
4260000,17.04,-403667.62561586616,301.3213312613446
4270000,17.08,-403563.487444171,298.0968884044004
4280000,17.12,-404948.8849121141,301.6067815265578
4290000,17.16,-404875.6952719914,301.81413272441773
4300000,17.2,-403894.42530141934,300.1621574620623
4310000,17.24,-405056.69956340874,301.3872224584504
4320000,17.28,-403601.7062750545,301.112336696336
4330000,17.32,-405118.75433399226,299.95483234939525
4340000,17.36,-403775.57809826126,302.84486303417157
4350000,17.4,-405268.3090032693,301.5847656238036
4360000,17.44,-404056.82955285534,301.1517253375197
4370000,17.48,-404140.40130190086,301.1493776701643
4380000,17.52,-405155.2057972618,300.02852301915925
4390000,17.56,-404835.3011716646,302.83442895703683
4400000,17.6,-404951.3131169304,305.3346686052526
4410000,17.64,-405081.5127414919,302.65527585263357
4420000,17.68,-403687.18678573426,302.58067220112036
4430000,17.72,-405704.2952423338,302.0643940644941
4440000,17.76,-403870.7913360975,301.40762107924877
4450000,17.8,-404641.2486719808,300.1282467113744
4460000,17.84,-403948.6037835956,302.47022749464924
4470000,17.88,-404121.8259903232,302.5108160547033
4480000,17.92,-403411.3405588926,301.44734882793927
4490000,17.96,-404671.79156614514,303.35060275289175
4500000,18.0,-404576.11027048645,299.9361292661313
4510000,18.04,-403466.71850377996,298.8079707611319
4520000,18.08,-404185.07100271457,304.7536209348126
4530000,18.12,-403586.9310097052,301.738798687505
4540000,18.16,-403489.15537415375,303.82629232946385
4550000,18.2,-405090.63992102095,300.77510732334173
4560000,18.24,-404059.7649955272,303.215168431683
4570000,18.28,-403846.8603519157,302.27161483638974
4580000,18.32,-403594.1274052581,302.35375710863286
4590000,18.36,-404623.73455277365,301.4336541016999
4600000,18.4,-403698.3928015565,300.5373147054413
4610000,18.44,-404373.23326624744,301.95183645740326
4620000,18.48,-404284.90512309084,301.6386315470116
4630000,18.52,-403012.4526729286,303.94962312119634
4640000,18.56,-404653.0778630888,303.9468059203699
