frame,time_ns,n_hydrogen_bonds
371,14.84,198
372,14.88,198
373,14.92,202
374,14.96,196
375,15.0,196
376,15.040000000000001,207
377,15.08,205
378,15.120000000000001,198
379,15.16,200
380,15.200000000000001,208
381,15.24,212
382,15.280000000000001,205
383,15.32,199
384,15.36,203
385,15.4,200
386,15.44,200
387,15.48,206
388,15.52,214
389,15.56,198
390,15.6,197
391,15.64,199
392,15.68,196
393,15.72,192
394,15.76,192
395,15.8,199
396,15.84,196
397,15.88,202
398,15.92,196
399,15.96,202
400,16.0,201
401,16.04,196
402,16.080000000000002,198
403,16.12,197
404,16.16,192
405,16.2,199
406,16.240000000000002,190
407,16.28,208
408,16.32,195
409,16.36,202
410,16.4,195
411,16.44,195
412,16.48,186
413,16.52,201
414,16.56,186
415,16.6,201
416,16.64,201
417,16.68,206
418,16.72,197
419,16.76,191
420,16.8,203
421,16.84,198
422,16.88,205
423,16.92,203
424,16.96,205
425,17.0,198
426,17.04,199
427,17.080000000000002,211
428,17.12,198
429,17.16,188
430,17.2,189
431,17.240000000000002,201
432,17.28,197
433,17.32,192
434,17.36,200
435,17.400000000000002,195
436,17.44,194
437,17.48,194
438,17.52,202
439,17.56,206
440,17.6,202
441,17.64,198
442,17.68,193
443,17.72,197
444,17.76,200
445,17.8,198
446,17.84,202
447,17.88,196
448,17.92,207
449,17.96,190
450,18.0,204
451,18.04,204
452,18.080000000000002,196
453,18.12,204
454,18.16,212
455,18.2,200
456,18.240000000000002,201
457,18.28,196
458,18.32,199
459,18.36,201
460,18.400000000000002,187
461,18.44,205
462,18.48,194
463,18.52,211
464,18.56,198
465,18.6,203
466,18.64,216
467,18.68,192
468,18.72,186
469,18.76,203
470,18.8,215
471,18.84,208
472,18.88,200
473,18.92,204
474,18.96,210
475,19.0,194
476,19.04,198
477,19.080000000000002,197
478,19.12,193
479,19.16,211
480,19.2,199
481,19.240000000000002,199
482,19.28,196
483,19.32,204
484,19.36,200
485,19.400000000000002,199
486,19.44,205
487,19.48,204
488,19.52,204
489,19.56,200
490,19.6,199
491,19.64,195
492,19.68,200
493,19.72,212
494,19.76,189
495,19.8,190
496,19.84,203
497,19.88,196
498,19.92,201
499,19.96,200
500,20.0,199
501,20.04,195
502,20.080000000000002,204
503,20.12,179
504,20.16,191
505,20.2,202
506,20.240000000000002,201
507,20.28,201
508,20.32,199
509,20.36,199
510,20.400000000000002,192
511,20.44,208
512,20.48,207
513,20.52,194
514,20.56,191
515,20.6,195
516,20.64,189
517,20.68,194
518,20.72,194
519,20.76,203
520,20.8,192
521,20.84,191
522,20.88,204
523,20.92,195
524,20.96,198
