frame,time_ns,HPN_N1_C1_O1_deg
239,9.56,116.787735
240,9.6,114.3099
241,9.64,117.68501
242,9.68,116.62662
243,9.72,116.82101
244,9.76,118.06342
245,9.8,117.545334
246,9.84,114.78569
247,9.88,118.35397
248,9.92,115.405495
249,9.96,114.87561
250,10.0,116.17938
251,10.040000000000001,114.70129
252,10.08,118.87799
253,10.120000000000001,116.56489
254,10.16,116.98656
255,10.200000000000001,116.00663
256,10.24,116.848114
257,10.28,114.18857
258,10.32,117.723755
259,10.36,119.08728
260,10.4,115.21825
261,10.44,115.755035
262,10.48,113.51364
263,10.52,111.78926
264,10.56,117.07861
265,10.6,120.7785
266,10.64,114.90656
267,10.68,118.74407
268,10.72,115.407
269,10.76,115.66097
270,10.8,117.58725
271,10.84,118.076126
272,10.88,118.72608
273,10.92,119.13628
274,10.96,118.93353
275,11.0,115.3272
276,11.040000000000001,115.5148
277,11.08,116.991516
278,11.120000000000001,114.52773
279,11.16,117.75374
280,11.200000000000001,113.2893
281,11.24,118.3805
282,11.28,116.50736
283,11.32,119.423256
284,11.36,116.82097
285,11.4,113.99452
286,11.44,117.767715
287,11.48,119.603165
288,11.52,119.38435
289,11.56,116.289536
290,11.6,117.671425
291,11.64,115.965866
292,11.68,115.813416
293,11.72,118.61008
294,11.76,116.77991
295,11.8,120.81085
296,11.84,116.3032
297,11.88,118.21795
298,11.92,116.551735
299,11.96,117.59289
300,12.0,114.948746
301,12.040000000000001,119.66016
302,12.08,117.65612
303,12.120000000000001,116.159325
304,12.16,117.004875
305,12.200000000000001,118.37061
306,12.24,115.569374
307,12.280000000000001,116.39355
308,12.32,116.8725
309,12.36,116.604385
310,12.4,115.811455
311,12.44,114.415596
312,12.48,114.974686
313,12.52,116.59414
314,12.56,118.18268
315,12.6,115.97449
316,12.64,114.644485
317,12.68,113.518776
318,12.72,117.74276
319,12.76,117.39758
320,12.8,118.566696
321,12.84,117.02325
322,12.88,115.69053
323,12.92,120.0324
324,12.96,117.46878
325,13.0,117.67404
326,13.040000000000001,118.28065
327,13.08,115.7065
328,13.120000000000001,117.35709
329,13.16,114.49711
330,13.200000000000001,118.651855
331,13.24,117.83622
332,13.280000000000001,118.53077
333,13.32,116.61452
334,13.36,119.56467
335,13.4,117.669205
336,13.44,118.2901
337,13.48,119.70671
338,13.52,115.715225
339,13.56,113.2203
340,13.6,116.156815
341,13.64,114.53434
342,13.68,115.10927
343,13.72,116.79216
344,13.76,117.93776
345,13.8,116.31893
346,13.84,117.297295
347,13.88,113.72825
348,13.92,119.51519
349,13.96,119.109474
350,14.0,117.40302
351,14.040000000000001,115.95281
352,14.08,117.59088
353,14.120000000000001,120.377815
354,14.16,118.32078
355,14.200000000000001,119.06186
356,14.24,116.262955
357,14.280000000000001,120.11824
358,14.32,114.566635
359,14.36,115.26777
360,14.4,116.776924
361,14.44,117.66445
362,14.48,115.32066
363,14.52,116.571815
364,14.56,117.78657
365,14.6,114.641785
366,14.64,117.05689
367,14.68,114.296135
368,14.72,116.03487
369,14.76,117.020805
370,14.8,112.124596
371,14.84,123.81821
372,14.88,114.663704
373,14.92,120.21717
374,14.96,116.42631
375,15.0,115.79689
376,15.040000000000001,115.20806
377,15.08,118.17956
378,15.120000000000001,120.37615
379,15.16,115.88989
380,15.200000000000001,118.60172
381,15.24,119.69529
382,15.280000000000001,115.60634
383,15.32,117.91515
384,15.36,115.493546
385,15.4,118.85007
386,15.44,117.8051
387,15.48,111.83298
388,15.52,116.741325
389,15.56,115.966225
390,15.6,116.775795
391,15.64,117.11685
392,15.68,115.88544
393,15.72,115.32678
394,15.76,118.3496
395,15.8,118.69991
396,15.84,114.485954
397,15.88,117.58212
398,15.92,120.47079
399,15.96,113.58153
400,16.0,119.2083
401,16.04,121.11744
402,16.080000000000002,115.07357
