frame,time_ns,n_hydrogen_bonds
371,14.84,212
372,14.88,202
373,14.92,189
374,14.96,198
375,15.0,199
376,15.040000000000001,213
377,15.08,201
378,15.120000000000001,211
379,15.16,207
380,15.200000000000001,218
381,15.24,207
382,15.280000000000001,209
383,15.32,211
384,15.36,195
385,15.4,212
386,15.44,208
387,15.48,206
388,15.52,212
389,15.56,197
390,15.6,194
391,15.64,200
392,15.68,194
393,15.72,195
394,15.76,195
395,15.8,208
396,15.84,200
397,15.88,201
398,15.92,208
399,15.96,202
400,16.0,202
401,16.04,194
402,16.080000000000002,188
403,16.12,193
404,16.16,197
405,16.2,190
406,16.240000000000002,188
407,16.28,186
408,16.32,197
409,16.36,194
410,16.4,207
411,16.44,194
412,16.48,188
413,16.52,192
414,16.56,197
415,16.6,193
416,16.64,188
417,16.68,195
418,16.72,195
419,16.76,198
420,16.8,188
421,16.84,203
422,16.88,205
423,16.92,190
